Product Name,Profit
"HP Fax Machine, Laser",2162.3412
"Canon Wireless Fax, High-Speed",2158.8894
"Eldon Lockers, Single Width",2133.831
"Fellowes Lockers, Wire Frame",2115.342
"Sauder Classic Bookcase, Mobile",2109.7056000000002
"Fellowes File Cart, Blue",2095.3395
"Canon Wireless Fax, Color",2060.9724
"Fellowes Shelving, Blue",2052.843
"Harbour Creations Swivel Stool, Set of Two",2051.385
Staples,2049.6021
"Safco Classic Bookcase, Metal",2033.1009
"Hamilton Beach Refrigerator, Silver",2028.4019999999998
"Sharp Personal Copier, Digital",1978.9661999999998
"Canon Fax Machine, High-Speed",1965.6481499999998
"Hewlett Copy Machine, Color",1926.08352
"KitchenAid Toaster, White",1868.8014
"Smead File Cart, Industrial",1867.4999999999998
"Bush Corner Shelving, Traditional",1850.55525
"Smead File Cart, Single Width",1847.9265
"Hoover Refrigerator, Red",1836.942
"Cuisinart Microwave, White",1834.7658
"KitchenAid Microwave, Black",1830.21375
"Konica Printer, White",1824.8287500000001
"Fellowes Shelving, Wire Frame",1824.2181
"Bush Corner Shelving, Pine",1813.3179
"Dania Classic Bookcase, Metal",1806.684
"Dania Stackable Bookrack, Traditional",1791.28125
"Samsung Smart Phone, VoIP",1787.6879999999994
"Epson Phone, Wireless",1783.3635000000002
Logitech Z-906 Speaker sys - home theater - 5.1-CH,1781.9460000000001
"Okidata Printer, White",1737.4635
"Belkin Memory Card, Programmable",1736.1105
"BIC Canvas, Fluorescent",1733.6826
"KitchenAid Stove, Black",1717.1421
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,1652.4708
"SAFCO Swivel Stool, Red",1643.0625
"Sharp Personal Copier, Laser",1618.8354
"Safco Library with Doors, Mobile",1618.0065000000002
"Bush Classic Bookcase, Mobile",1596.114
Apple iPhone 5,1588.8343499999999
"Logitech Router, Programmable",1585.0286999999998
"Okidata Inkjet, Wireless",1581.1682999999998
"Cuisinart Refrigerator, Red",1579.914
"Hoover Refrigerator, Black",1569.0120000000002
"Brother Copy Machine, High-Speed",1567.15704
"Logitech Router, Erganomic",1564.071
"Belkin Router, Erganomic",1557.594
"Logitech Router, USB",1555.45605
"KitchenAid Microwave, White",1554.12
"Samsung Speaker Phone, Cordless",1551.8223
"Sharp Wireless Fax, High-Speed",1542.95292
Ibico Ibimaster 300 Manual Binding System,1517.9587499999998
"Canon Fax and Copier, Laser",1506.94992
Hoover Shoulder Vac Commercial Portable Vacuum,1502.844
"Fellowes Lockers, Industrial",1489.0995
"Deflect-O Frame, Durable",1468.5375
"Sauder 3-Shelf Cabinet, Mobile",1461.24
"Office Star Executive Leather Armchair, Black",1450.8027000000002
"Motorola Speaker Phone, VoIP",1442.4501
"Safco 3-Shelf Cabinet, Metal",1438.26
"Hoover Refrigerator, Silver",1406.9699999999998
"Fiskars Shears, High Speed",1405.554
"KitchenAid Microwave, Silver",1398.8754000000001
Deluxe Rollaway Locking File with Drawer,1397.3568
"Cardinal Binding Machine, Clear",1385.2422000000001
"Hoover Microwave, Red",1369.521
"KitchenAid Microwave, Red",1359.6153
"Cisco Audio Dock, with Caller ID",1358.72625
"Hon Training Table, Adjustable Height",1351.08
"Cuisinart Stove, Black",1349.6100000000001
"Sanford Pencil Sharpener, Easy-Erase",1347.1146
"Sharp Copy Machine, High-Speed",1344.6108
"Sanford Sketch Pad, Fluorescent",1334.8619999999999
"Dual Level, Single-Width Filing Carts",1330.4148
"Brother Personal Copier, High-Speed",1318.9757399999999
"Breville Stove, Silver",1311.7613999999999
"Dania Classic Bookcase, Traditional",1306.698
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",1300.6413
"Apple Audio Dock, VoIP",1295.3835
"Fiskars Trimmer, Easy Grip",1285.125
"Nokia Smart Phone, Cordless",1281.68775
"Office Star Chairmat, Red",1280.4461999999999
"Canon Fax and Copier, High-Speed",1280.38356
"HP Fax and Copier, Digital",1278.0221999999999
"Hoover Toaster, Silver",1272.1995
"Tenex Lockers, Blue",1267.38
"Hewlett Fax and Copier, Laser",1265.8982700000001
"SanDisk Router, Erganomic",1250.145
"SAFCO Swivel Stool, Black",1241.1396
"SanDisk Router, USB",1226.019
"Safco Corner Shelving, Traditional",1220.325
"Binney & Smith Canvas, Water Color",1218.5955
"Tenex Trays, Single Width",1216.503
"Konica Inkjet, White",1211.2289999999998
"Cameo Interoffice Envelope, Set of 50",1209.4587000000001
"Dania Floating Shelf Set, Metal",1202.41635
"Canon Personal Copier, Laser",1198.69104
"Safco Floating Shelf Set, Traditional",1194.8799
"Motorola Signal Booster, Cordless",1192.4076
"Cameo Interoffice Envelope, Recycled",1192.158
"Konica Receipt Printer, White",1186.6680000000001
"Motorola Audio Dock, with Caller ID",1180.3725
"BIC Sketch Pad, Easy-Erase",1173.5475000000001
"Cuisinart Stove, White",1166.31135
"SAFCO Swivel Stool, Adjustable",1163.8308
"Ames Manila Envelope, Security-Tint",1159.0212000000001
"HP Personal Copier, Laser",1152.86619
Fellowes Powershred HS-440 4-Sheet High Security Shredder,1150.80075
"Rogers File Cart, Blue",1150.6605
Letter Size Cart,1148.508
Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,1147.6737
"Boston Sketch Pad, Blue",1139.934
"Canon Copy Machine, High-Speed",1139.0647199999999
"Cisco Signal Booster, VoIP",1138.527
"Samsung Audio Dock, Cordless",1137.6000000000001
"Cuisinart Coffee Grinder, White",1128.8283000000001
"Eldon Trays, Single Width",1127.3066999999999
"Ames Interoffice Envelope, Security-Tint",1118.961
RCA H5401RE1 DECT 6.0 4-Line Cordless Handset With Caller ID/Call Waiting,1115.982
ClearOne CHATAttach 160 - speaker phone,1115.982
"Hamilton Beach Refrigerator, White",1115.964
"Nokia Audio Dock, with Caller ID",1115.2152
"Hamilton Beach Microwave, Silver",1114.22325
"Stanley Canvas, Fluorescent",1105.86765
"Canon Ink, Color",1083.12348
"Boston Sketch Pad, Fluorescent",1077.8201999999999
"Hamilton Beach Refrigerator, Black",1077.4386000000002
Avanti 4.4 Cu. Ft. Refrigerator,1053.3036
"Brother Fax and Copier, High-Speed",1050.43899
"Ibico Binding Machine, Durable",1047.2202
"Hewlett Fax Machine, High-Speed",1041.89292
"Tenex Lockers, Wire Frame",1040.3850000000002
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",1039.509
"Brother Wireless Fax, Digital",1038.6562499999998
"Harbour Creations Executive Leather Armchair, Red",1032.039
"Brother Fax and Copier, Laser",1029.8441699999998
GBC DocuBind TL200 Manual Binding Machine,1028.0682
Adjustable Depth Letter/Legal Cart,1026.1562999999999
"Sauder Corner Shelving, Metal",1025.7516
"Enermax Router, Erganomic",1025.4356999999998
"Sharp Copy Machine, Laser",1025.154
"Boston Canvas, Fluorescent",1024.5615
"Hon Steel Folding Chair, Red",1018.8356999999999
"Deflect-O Frame, Black",1018.404
"SAFCO Steel Folding Chair, Set of Two",1005.9696
"SAFCO Bag Chairs, Adjustable",1005.3487499999999
"Dania Corner Shelving, Traditional",1004.9889000000001
"Dania Stackable Bookrack, Pine",1003.3596000000001
"Novimex Bag Chairs, Red",1002.174
"Tenex File Cart, Industrial",1001.7612
"Cuisinart Refrigerator, White",1000.6695
Logitech G700s Rechargeable Gaming Mouse,995.6277
"Novimex Rocking Chair, Set of Two",989.8463999999999
"Sauder 3-Shelf Cabinet, Metal",982.5320999999999
"Hewlett Copy Machine, High-Speed",976.94337
"StarTech Inkjet, White",972.8910000000001
"Cameo Mailers, Recycled",972.045
"Hon Swivel Stool, Red",968.6234999999999
Global Commerce Series High-Back Swivel/Tilt Chairs,961.8075000000001
"Hoover Refrigerator, White",943.92
"Belkin Mouse, Programmable",943.4181000000001
"Sharp Fax and Copier, Color",940.26768
"Fellowes Folders, Single Width",937.44
"Cardinal 3-Hole Punch, Economy",931.824
Kensington 7 Outlet MasterPiece Power Center,929.0556
Tennsco 6- and 18-Compartment Lockers,925.7067
"Sharp Fax and Copier, Laser",912.9635999999999
"Sauder Library with Doors, Mobile",912.6697499999999
"Memorex Numeric Keypad, Bluetooth",911.6324999999999
"Binney & Smith Highlighters, Water Color",908.3529
"KitchenAid Stove, Red",906.2549999999999
"KitchenAid Blender, Black",904.3961999999999
Holmes 99% HEPA Air Purifier,902.4993
"Logitech Keyboard, Erganomic",893.6220000000001
"Enermax Memory Card, Erganomic",890.715
"Motorola Smart Phone, with Caller ID",890.6445
"Sanford Pencil Sharpener, Water Color",886.9206
"Stiletto Shears, Easy Grip",885.8805
"Apple Office Telephone, VoIP",878.445
Cameo Buff Policy Envelopes,876.73485
"Cardinal 3-Hole Punch, Durable",875.2507499999999
"Nokia Signal Booster, VoIP",870.489
"Samsung Audio Dock, Full Size",869.6232
"Sanford Sketch Pad, Water Color",868.3224
"Safco Classic Bookcase, Traditional",867.195
"Hoover Coffee Grinder, Black",865.2495
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,862.0621500000001
"Ikea Stackable Bookrack, Mobile",860.2814999999999
"Wilson Jones Binding Machine, Clear",854.07
Hon Multipurpose Stacking Arm Chairs,851.238
"Tenex Shelving, Industrial",850.794
"Sanford Pens, Easy-Erase",850.7781
"Rogers Trays, Wire Frame",849.06
"Office Star Steel Folding Chair, Set of Two",847.6704
"Hewlett Ink, Digital",844.992
Iceberg Mobile Mega Data/Printer Cart,844.7166
"Sanford Canvas, Fluorescent",841.2432
"Cuisinart Microwave, Silver",839.65875
Ames Color-File Green Diamond Border X-ray Mailers,838.9602
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",838.68
"Stanley Markers, Water Color",833.0067
Hon Olson Stacker Chairs,830.0853000000001
SAFCO Arco Folding Chair,824.457
"Cisco Signal Booster, Full Size",823.6524000000001
"Cardinal Binding Machine, Economy",818.0505
Logitech Wireless Headset h800,817.4182500000001
"Sharp Fax Machine, High-Speed",817.4033999999999
"Xerox Cards & Envelopes, Premium",817.0395000000001
"Office Star Rocking Chair, Black",815.871
"Xerox Cards & Envelopes, 8.5 x 11",812.712
"Panasonic Card Printer, Durable",812.226
"Jiffy Mailers, Security-Tint",809.25075
Newell 350,808.5231
"Enermax Router, USB",807.3036000000001
"Boston Highlighters, Water Color",804.1914
"Ibico 3-Hole Punch, Clear",801.00045
Bush Advantage Collection Racetrack Conference Table,799.8978
"Elite Letter Opener, High Speed",799.7175
"Eaton Memo Slips, Recycled",799.6144499999999
"BIC Sketch Pad, Water Color",788.931
"Novimex Chairmat, Set of Two",788.82075
"SAFCO Rocking Chair, Adjustable",785.31
"Stanley Sketch Pad, Fluorescent",784.149
"HP Copy Machine, Color",783.1467
"Rogers Trays, Industrial",782.3736
"Konica Printer, Wireless",779.1030000000001
"Canon Fax and Copier, Digital",774.6100799999999
"Office Star Chairmat, Black",773.7479999999999
"Elite Box Cutter, High Speed",771.1155
"Sauder Floating Shelf Set, Metal",770.9658
"Hewlett Fax and Copier, Digital",769.9876200000001
Xerox 1945,768.5625
"Office Star Steel Folding Chair, Adjustable",768.312
"Elite Trimmer, Serrated",765.7455
"Kleencut Letter Opener, Easy Grip",765.4995
"Dania Floating Shelf Set, Traditional",762.88725
"Xerox Cards & Envelopes, Recycled",762.2052
"Green Bar Cards & Envelopes, 8.5 x 11",759.375
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",758.7432
"Global Leather and Oak Executive Chair, Black",753.9549000000001
Xerox 1919,753.19125
"Chromcraft Computer Table, Fully Assembled",751.8
"Tenex Trays, Wire Frame",749.703
"Acme Letter Opener, Easy Grip",748.5142500000001
"Nokia Audio Dock, VoIP",745.932
"Hewlett Fax Machine, Digital",745.4430000000001
Xerox 1888,744.7144499999999
"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",744.7144499999999
"Ibico 3-Hole Punch, Recycled",744.67665
"Brother Fax Machine, High-Speed",744.0942
Kensington 4 Outlet MasterPiece Compact Power Control Center,741.6384
"Binney & Smith Sketch Pad, Blue",739.6872000000001
"Fellowes Trays, Single Width",739.6677
"Novimex Executive Leather Armchair, Black",738.2886000000001
"Eldon Shelving, Blue",734.5002
"Apple Smart Phone, Full Size",732.5227500000005
"Rogers Shelving, Blue",729.9300000000001
"Stanley Canvas, Easy-Erase",724.167
"Dania 3-Shelf Cabinet, Pine",722.9760000000001
"Enermax Cards & Envelopes, Premium",720.92205
"Samsung Office Telephone, VoIP",720.54
"Acme Box Cutter, High Speed",720.414
"Fiskars Letter Opener, Easy Grip",715.0986
Standard Rollaway File with Lock,713.5524
"BIC Markers, Easy-Erase",710.91
"Stanley Canvas, Water Color",710.835
"Jiffy Interoffice Envelope, Recycled",710.3448
"Apple Office Telephone, Cordless",707.304
Hon GuestStacker Chair,706.5861
"Apple Audio Dock, with Caller ID",706.4060999999999
"Boston Pencil Sharpener, Water Color",706.266
"Xerox Computer Printout Paper, Premium",704.7756
"Harbour Creations Bag Chairs, Adjustable",704.3994
"Jiffy Mailers, with clear poly window",704.0609999999999
Honeywell Quietcare HEPA Air Cleaner,700.7715000000001
"Sharp Fax Machine, Laser",700.0902000000001
"Hon Steel Folding Chair, Adjustable",696.387
"Green Bar Memo Slips, 8.5 x 11",694.6777500000001
Polycom SoundStation2 EX Conference phone,692.4645
"Ikea Floating Shelf Set, Mobile",692.04
"SanDisk Cards & Envelopes, Premium",691.0236
"Stiletto Trimmer, Easy Grip",690.888
Avanti 1.7 Cu. Ft. Refrigerator,690.7032
"Smead Shelving, Blue",689.055
"Motorola Speaker Phone, Full Size",688.9236
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,688.38
"Elite Trimmer, Easy Grip",686.69565
"Panasonic Inkjet, Red",686.376
"Cardinal Binding Machine, Durable",685.2645
"Wilson Jones 3-Hole Punch, Recycled",685.23525
Hon 4070 Series Pagoda Round Back Stacking Chairs,684.3681000000001
"Eldon Trays, Blue",683.9565
Multicolor Computer Printout Paper,682.146
"GlobeWeis Mailers, Recycled",679.395
"Panasonic Printer, Wireless",679.1624999999999
"Cisco Audio Dock, VoIP",677.52
Hewlett Packard 310 Color Digital Copier,674.9775
"Boston Canvas, Blue",673.7796
"Konica Phone, White",673.5150000000001
"Ibico Binder Covers, Durable",672.0
"Hon Rocking Chair, Black",669.1861500000001
"Motorola Office Telephone, Full Size",668.6669999999999
"Safco 3-Shelf Cabinet, Traditional",666.8451
"Canon Personal Copier, Digital",665.30772
"Harbour Creations Chairmat, Red",665.28
"Safco Floating Shelf Set, Mobile",664.4064
Imation Bio 2GB USB Flash Drive Imation Corp,661.1472
"Fellowes Folders, Blue",660.465
"Hon Swivel Stool, Set of Two",656.751
"BIC Canvas, Easy-Erase",656.4649499999999
"Sauder Stackable Bookrack, Pine",656.12745
"Breville Microwave, Red",655.66635
"Cameo Manila Envelope, Security-Tint",654.546
"Breville Stove, White",651.9516
"Acco Binding Machine, Durable",651.669
"Apple Headset, Full Size",650.352
"Ibico Binding Machine, Clear",647.2379999999999
"Acco Binding Machine, Recycled",646.3275
"Rogers Trays, Blue",645.45
"Cardinal 3-Hole Punch, Clear",643.8636
"Belkin Flash Drive, USB",638.532
"Enermax Note Cards, Premium",637.8555
"Tenex File Cart, Blue",636.375
"Hon Training Table, Fully Assembled",634.623
"Binney & Smith Highlighters, Fluorescent",634.29
Fellowes Super Stor/Drawer Files,632.46825
"Breville Microwave, Black",632.199
"Nokia Headset, Full Size",632.16
"Nokia Headset, Cordless",631.962
"24 Capacity Maxi Data Binder Racks, Pearl",631.6499999999999
"Elite Trimmer, Steel",625.16295
"Acco Binder Covers, Recycled",624.2838
"Cisco Headset, Full Size",623.6064
"Acco 3-Hole Punch, Durable",622.929
"Stanley Sketch Pad, Blue",621.4997999999999
Aastra 6757i CT Wireless VoIP phone,620.4671999999999
Samsung Galaxy Note 2,620.4671999999999
"BIC Markers, Water Color",617.73
Samsung Galaxy S4 Active,616.77
"Xerox Computer Printout Paper, Recycled",616.635
"Green Bar Parchment Paper, 8.5 x 11",615.144
"Hamilton Beach Coffee Grinder, Red",614.694
"Hon Steel Folding Chair, Set of Two",614.31465
Tennsco Double-Tier Lockers,614.3046
"Kleencut Shears, Steel",613.18605
"Belkin Keyboard, USB",612.8294999999999
Ibico EB-19 Dual Function Manual Binding System,612.3846000000001
"Epson Receipt Printer, White",612.3384
"Motorola Headset, Full Size",611.4205499999999
"Okidata Receipt Printer, Wireless",611.03475
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,610.7052
"GlobeWeis Manila Envelope, Set of 50",610.638
"Ames Mailers, Recycled",610.47675
"Binney & Smith Canvas, Easy-Erase",610.38
"Eaton Cards & Envelopes, Premium",610.245
"Fellowes Shelving, Single Width",610.1145
"Hamilton Beach Stove, Black",609.4035
"GlobeWeis Mailers, Security-Tint",609.21
"Motorola Audio Dock, VoIP",606.5100000000001
"Eaton Computer Printout Paper, Recycled",605.9001
"Rogers Shelving, Wire Frame",605.517
"SanDisk Numeric Keypad, Erganomic",603.8924999999999
Plantronics Audio 995 Wireless Stereo Headset,603.8924999999999
"SAFCO Steel Folding Chair, Black",602.433
"Wilson Jones 3-Hole Punch, Durable",600.228
"Hewlett Fax Machine, Color",599.80212
"Binney & Smith Pencil Sharpener, Water Color",597.993
"SanDisk Note Cards, Multicolor",596.6064
"Fellowes Box, Wire Frame",595.9575
"SanDisk Memory Card, Programmable",594.387
Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,593.9406
"Hoover Microwave, Black",592.8990000000001
"Canon Copy Machine, Color",592.3417199999999
"Hon Bag Chairs, Set of Two",590.5310999999999
Xerox 1885,588.0096
"Breville Toaster, White",587.5695000000001
Xerox 1917,586.18635
"StarTech Inkjet, Wireless",584.9842500000001
"Konica Card Printer, White",584.7059999999999
"Stanley Markers, Fluorescent",583.7364
"SanDisk Router, Programmable",583.4722499999999
"Acme Trimmer, Easy Grip",582.63
"Motorola Smart Phone, Cordless",581.364
Economy Rollaway Files,574.896
Classic Ivory Antique Telephone ZL1810,572.0625
"Elite Scissors, Serrated",571.5375
"Eldon Trays, Wire Frame",571.239
"Enermax Note Cards, 8.5 x 11",570.46185
"Eldon File Cart, Blue",570.1260000000001
"Hewlett Ink, Laser",569.9532
"Binney & Smith Sketch Pad, Water Color",569.82
"Sanford Pencil Sharpener, Fluorescent",568.2771
"Novimex Swivel Stool, Red",567.6707999999999
Enermax Aurora Lite Keyboard,567.3689999999999
"Tenex Clock, Erganomic",566.202
"Ikea Corner Shelving, Pine",562.056
"Lesro Computer Table, Adjustable Height",561.7755
"Eaton Message Books, Multicolor",561.6179999999999
"Binney & Smith Canvas, Fluorescent",558.0120000000001
"Sharp Fax Machine, Digital",557.6985
Logitech G19 Programmable Gaming Keyboard,556.9739999999999
Plantronics Savi W720 Multi-Device Wireless Headset System,556.9739999999999
"Binney & Smith Pens, Water Color",554.988
"Stiletto Shears, High Speed",554.4015
"Memorex Keyboard, Programmable",553.3692
"BIC Sketch Pad, Fluorescent",552.492
"Binney & Smith Pens, Easy-Erase",552.3135
"Stockwell Clamps, Assorted Sizes",552.1185
"Cisco Headset, with Caller ID",551.45685
Tyvek Side-Opening Peel & Seel Expanding Envelopes,549.6659999999999
"Hoover Toaster, Black",549.4545
GBC Recycled Regency Composition Covers,548.7804
"Hoover Toaster, White",548.6283
"Hon Rocking Chair, Red",547.5405000000001
"Bevis Oval Conference Table, Walnut",547.3625999999999
"Chromcraft Conference Table, Fully Assembled",547.3625999999999
"Tenex Lockers, Industrial",546.95955
"Belkin Memory Card, Bluetooth",543.99
Xerox 1906,542.7636
"Ikea Stackable Bookrack, Pine",542.556
"Memorex Numeric Keypad, Erganomic",540.45
"Konica Inkjet, Wireless",540.162
"Sanford Sketch Pad, Easy-Erase",539.6400000000001
"SAFCO Steel Folding Chair, Adjustable",539.586
"Boston Markers, Blue",538.7040000000001
"Memorex Memory Card, Bluetooth",538.203
"Hunt PowerHouse Electric Pencil Sharpener, Blue",535.518
"Office Star Rocking Chair, Set of Two",535.077
"Samsung Audio Dock, VoIP",534.7049999999999
"Eaton Cards & Envelopes, Recycled",534.456
"Sauder Library with Doors, Pine",534.3615
"GlobeWeis Interoffice Envelope, Recycled",534.3299999999999
"Kraft Interoffice Envelope, with clear poly window",531.7701
"Cardinal 3-Hole Punch, Recycled",531.09
"Stiletto Letter Opener, Steel",529.4112
"BIC Highlighters, Blue",528.912
Belkin 7 Outlet SurgeMaster II,528.4371
"Belkin 325VA UPS Surge Protector, 6'",528.4371
Fellowes Staxonsteel Drawer Files,527.3541
"Panasonic Printer, White",526.965
"Konica Card Printer, Wireless",525.42
"Stanley Canvas, Blue",525.3975
"Stockwell Paper Clips, Assorted Sizes",522.65205
Newell 35,521.9514
"Sauder Corner Shelving, Pine",521.7771
"Cisco Speaker Phone, Full Size",521.6292
"HP Wireless Fax, Color",520.9569
"Green Bar Memo Slips, Recycled",519.9870000000001
Plantronics Audio 478 Stereo USB Headset,517.3965000000001
"Novimex Swivel Stool, Set of Two",517.338
"Sanford Canvas, Blue",517.0575
Xerox 1915,516.8520000000001
"Epson Phone, Durable",516.45735
"Stanley Sketch Pad, Easy-Erase",516.105
Global Executive Mid-Back Manager's Chair,515.0346000000001
"Green Bar Parchment Paper, Recycled",514.87815
"Deflect-O Door Stop, Erganomic",514.12725
"Cameo Business Envelopes, Set of 50",512.745
"Ikea Stackable Bookrack, Traditional",512.5596
"Cameo Interoffice Envelope, Security-Tint",511.88205000000005
"KitchenAid Stove, White",511.155
"SanDisk Note Cards, Premium",509.04974999999996
"Bush 3-Shelf Cabinet, Pine",507.81600000000003
"Memorex Memory Card, Erganomic",507.546
"Boston Sketch Pad, Easy-Erase",507.05879999999996
"Fiskars Box Cutter, Steel",506.1312
"Fiskars Shears, Easy Grip",504.98265000000004
"Enermax Keyboard, USB",503.78700000000003
Hon Non-Folding Utility Tables,501.8265
"Acme Shears, High Speed",501.46200000000005
"Stiletto Letter Opener, Easy Grip",500.88300000000004
"SanDisk Message Books, 8.5 x 11",500.3526
"SanDisk Keyboard, Programmable",497.973
"Cameo Manila Envelope, Recycled",497.967
"Kraft Business Envelopes, Set of 50",496.2855
"Logitech Flash Drive, USB",495.71099999999996
"Smead Trays, Single Width",495.15885000000003
"Epson Phone, White",494.8875
"Ikea Corner Shelving, Traditional",493.6941
"Logitech Numeric Keypad, USB",493.1109
"Fiskars Shears, Steel",491.7
Hunt Boston Vacuum Mount KS Pencil Sharpener,491.5158
"Hon Chairmat, Set of Two",490.4376
"Tenex Clock, Durable",489.4452
"Safco Stackable Bookrack, Pine",489.26700000000005
"Kraft Mailers, with clear poly window",488.24415
"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",488.205
"Acme Letter Opener, Serrated",487.3395
"SanDisk Keyboard, Erganomic",487.2375
"Acme Trimmer, High Speed",486.33299999999997
"Rubbermaid Stacking Tray, Black",485.55
"BIC Pens, Water Color",485.1528
"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",483.4335
"Eaton Message Books, Recycled",483.10949999999997
"Jiffy Manila Envelope, with clear poly window",482.85525
